,AdditionalRooms,Age,Lift Available,Car Parking,Power Backup,Indoor Games,Intercom,Landscaped Gardens,Gas connection,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Childrens play area,Maintenance Staff,Staff Quarter,Shopping Mall,School,Hospital,ATM,Refrigerator,Sports Facility,Multipurpose Room,Wardrobe,Cafeteria,Golf Course,TV,Sofa,Microwave,BED,Wifi,AC,Dining Table,Washing Machine,Area,Balconies,Bathroom,Count Rooms,Room Type,Property Type,Carpetarea,Facing,Floor,Locality,New Or Old,Opensides,Overlooking,Ownership,PossesionDate,Month Of Date,Price,PriceperSquare,ProjectName,RoadFacing,Status,furnished,Totalfloor
0,,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611 ,2,3,,BHK,Apartment,1209 ,West,3 ,deccan gymkhana,new,2,available,cooperative society,,,27000000, 16759  ,bhansali prive rio,40 ,ready to move,not available,6
1,,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279 ,,2,,BHK,Apartment,,NorthEast,1,kharadi,new,,,freehold,,,7610050, 5950  ,goel ganga platino,,ready to move,not available,
2,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,670 ,,1,,BHK,Apartment,,NorthEast,1,sus,new,,,freehold,,,4100000, 6119  ,vilas javdekar yashwin,,ready to move,not available,
3,,2.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956 ,,2,,BHK,Apartment,615 ,NorthEast,1,bavdhan,new,,,freehold,,,5736000, 6000  ,rohan ishan,,ready to move,not available,
4,,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1706 ,1,3,,BHK,Apartment,1195 ,West,6 ,deccan gymkhana,new,2,available,freehold,,,29002000, 17000  ,swojas aavishkar,60 ,ready to move,not available,9
5,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015 ,2,2,,BHK,Apartment,,NorthEast,2 ,mundhwa,new,2,available,freehold,,,4720765, 4651  ,pgd pinnacle,,ready to move,not available,10
6,,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3725 ,,5,,BHK,Apartment,,NorthEast,1,viman nagar,new,,,freehold,,,30172500, 8100  ,marvel piazza phase 01,,ready to move,not available,
7,,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450 ,,1,,BHK,Apartment,,NorthEast,1,baner,new,,,freehold,,,4000000, 8889  ,puraniks aldea anexo,,ready to move,not available,
8,3,1.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1650 ,2,3,,BHK,Apartment,1150 ,West,4 ,law collage road,resale,2,available,freehold,,,24000000, 14545  ,swojas gulmohar,25 ,ready to move,unfurnished,6
9,,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449 ,1,1,,BHK,Apartment,,NorthEast,1 ,mahalunge,new,2,available,freehold,,,2783351, 6199  ,puraniks aldea espanola,,ready to move,not available,15
10,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625 ,1,1,,BHK,Apartment,,NorthEast,1 ,mundhwa,new,2,available,freehold,19,nov,3281250, 5250  ,purva silversands,,under construction,not available,27
11,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900 ,1,1,,BHK,Apartment,,NorthEast,1 ,mundhwa,new,2,available,freehold,19,nov,4725000, 5250  ,purva silversands,,under construction,not available,27
12,2,1.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100 ,1,2,,BHK,Apartment,920 ,East,1 ,deccan gymkhana,resale,2,available,,,,20300000, 18454  ,darode matru chhaya,25 ,ready to move,unfurnished,5
13,3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300 ,3,5,,BHK,Apartment,2600 ,West,12 ,bhukum,new,3,available,cooperative society,18,mar,18000000, 5454  ,skyi manas lake,40 ,under construction,not available,12
14,,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1305 ,2,2,,BHK,Apartment,966 ,West,2 ,baner,new,2,available,freehold,,,9000000, 6896  ,builder orchid 10,50 ,ready to move,not available,5
